
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 200
--------------------------------------
	簇ID:	 计数

53,1,||,15148.0,15361.0,7221.0,8262.0,9835.0,8080.0,7808.0,7385.0,5785.0,7838.0,8231.0,12109.0
54,1,||,17880.0,3020.0,2500.0,2600.0,3780.0,4260.0,14120.0,4380.0,7020.0,5880.0,2080.0,6100.0
55,1,||,16599.0,18401.0,12016.0,14425.0,14327.0,12384.0,13986.0,18268.0,16153.0,11103.0,13036.0,11284.0
56,18,||,1199.9444444444443,1014.5555555555555,828.8888888888889,937.7777777777778,969.1111111111111,994.7222222222222,990.2222222222222,1263.1666666666667,1199.4444444444443,948.3333333333334,945.0555555555555,1137.6666666666667
57,545,||,165.4954128440367,0.22018348623853212,162.71743119266054,0.8990825688073395,177.6348623853211,0.6073394495412844,157.34128440366973,0.9174311926605505,157.748623853211,1.1926605504587156,153.76697247706423,0.5155963302752293
58,3,||,1503.6666666666667,1005.3333333333334,1347.0,1071.6666666666667,1173.0,1397.3333333333333,575.3333333333334,93.66666666666667,0.0,2.3333333333333335,4.333333333333333,4.666666666666667
59,1,||,56520.0,44880.0,35160.0,33960.0,18000.0,14400.0,17220.0,19920.0,20400.0,14760.0,23040.0,24759.0
60,5,||,2162.2,89.2,255.4,292.4,688.4,249.2,346.4,315.6,327.4,175.6,257.8,317.8
61,1,||,1860.0,1621.0,1497.0,0.0,3206.0,1276.0,1996.0,2527.0,1707.0,1043.0,1709.0,1858.0
62,1,||,7938.0,0.0,0.0,934.0,727.0,591.0,245.0,0.0,634.0,534.0,880.0,864.0
63,1,||,935.0,800.0,1446.0,3119.0,3647.0,2847.0,7566.0,2787.0,3104.0,3028.0,2968.0,2289.0
64,1,||,5124.0,1876.0,1950.0,7037.0,6826.0,6539.0,8019.0,10156.0,9807.0,5958.0,7484.0,6475.0
65,1,||,9340.0,0.0,8043.0,4874.0,6258.0,6328.0,4278.0,5716.0,5670.0,5444.0,5716.0,663.0
66,42,||,232.0952380952381,182.02380952380952,196.04761904761904,233.0952380952381,262.9761904761905,346.4047619047619,411.26190476190476,577.9047619047619,588.1666666666666,360.4761904761905,362.2857142857143,293.92857142857144
67,1,||,1326.0,2528.0,3351.0,2622.0,1759.0,1554.0,1490.0,3014.0,2674.0,1340.0,1594.0,1093.0
68,19,||,1224.157894736842,0.0,1236.7894736842106,0.0,1286.9473684210527,0.0,1152.0526315789473,0.0,1284.7368421052631,0.0,1012.578947368421,0.0
69,180,||,349.03333333333336,336.09444444444443,359.24444444444447,356.9,401.68888888888887,303.53333333333336,279.4611111111111,299.52777777777777,307.23333333333335,270.21666666666664,329.22777777777776,321.56111111111113
70,1,||,5370.0,0.0,16140.0,0.0,11490.0,0.0,9870.0,0.0,11228.0,0.0,9172.0,0.0
