
======================================================================================
----------------------------------------------------------------------------
	簇个数:	 199
--------------------------------------
	簇ID:	 计数

55,2,||,0.0,0.0,58.5,0.0,42.5,0.0,50.0,0.0,48.5,14.5,36.0,14.0
56,1,||,0.0,0.0,334.0,87.0,286.0,153.0,98.0,97.0,115.0,83.0,123.0,109.0
57,16,||,0.0,0.0,91.5,4.3125,1.4375,0.3125,1.375,0.0625,0.0,0.0625,3.25,1.125
58,1,||,0.0,0.0,95.0,48.0,58.0,41.0,80.0,155.0,155.0,155.0,0.0,60.0
59,1,||,0.0,0.0,734.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,||,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,179.0,180.0,0.0,0.0
61,2,||,0.0,0.0,98.5,0.0,122.0,0.0,176.5,0.0,146.0,0.0,150.0,0.0
62,1,||,0.0,0.0,9.0,0.0,815.0,0.0,737.0,0.0,696.0,0.0,647.0,0.0
63,1,||,0.0,0.0,640.0,54.0,69.0,94.0,104.0,87.0,98.0,106.0,89.0,74.0
64,1,||,0.0,0.0,51.0,278.0,98.0,104.0,85.0,143.0,215.0,0.0,0.0,17.0
65,1,||,0.0,0.0,173.0,15.0,13.0,32.0,11.0,85.0,196.0,88.0,155.0,109.0
66,1,||,0.0,0.0,305.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0
67,1,||,0.0,0.0,200.0,200.0,0.0,0.0,0.0,100.0,200.0,235.0,199.0,245.0
68,4,||,0.0,0.0,23.75,33.25,53.25,19.25,22.25,9.25,28.75,19.0,25.5,14.0
69,6,||,0.0,0.0,214.33333333333334,19.333333333333332,9.666666666666666,0.0,5.5,5.166666666666667,5.333333333333333,5.0,3.5,1.3333333333333333
70,1,||,0.0,0.0,486.0,0.0,245.0,0.0,217.0,0.0,52.0,0.0,404.0,0.0
71,1,||,0.0,0.0,1179.0,0.0,0.0,0.0,0.0,0.0,45.0,19.0,23.0,11.0
72,1,||,0.0,0.0,637.0,0.0,0.0,0.0,0.0,460.0,247.0,102.0,93.0,0.0
73,1,||,0.0,0.0,1099.0,123.0,500.0,422.0,122.0,188.0,135.0,143.0,211.0,90.0
74,1,||,0.0,0.0,56.0,143.0,190.0,312.0,0.0,67.0,87.0,444.0,544.0,918.0
75,1,||,0.0,0.0,168.0,84.0,126.0,53.0,68.0,63.0,69.0,76.0,0.0,246.0
76,5,||,0.0,0.0,20.4,3.4,1.2,0.6,1.8,2.6,12.8,12.6,56.0,0.0
77,1,||,0.0,0.0,694.0,446.0,160.0,93.0,102.0,130.0,105.0,96.0,202.0,149.0
78,1,||,0.0,0.0,43.0,101.0,159.0,141.0,99.0,81.0,94.0,95.0,174.0,91.0
79,1,||,0.0,0.0,476.0,0.0,459.0,0.0,342.0,0.0,376.0,0.0,387.0,0.0
80,1,||,0.0,0.0,633.0,0.0,167.0,0.0,430.0,0.0,585.0,0.0,645.0,0.0
81,3,||,0.0,0.0,134.0,86.0,7.666666666666667,11.333333333333334,14.333333333333334,19.0,19.666666666666668,12.333333333333334,26.333333333333332,46.333333333333336
82,1,||,0.0,0.0,28.0,292.0,486.0,0.0,201.0,0.0,153.0,209.0,0.0,469.0
83,1,||,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,||,0.0,0.0,287.0,158.0,219.0,204.0,253.0,286.0,251.0,270.0,277.0,214.0
85,1,||,0.0,0.0,300.0,300.0,0.0,625.0,120.0,55.0,353.0,94.0,102.0,118.0
86,1,||,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,70.0,178.0
87,2,||,0.0,0.0,340.0,130.0,158.5,111.0,107.5,90.5,56.5,59.5,58.0,18.0
